timestamp,agent_id,year,response
2025-11-06T23:48:39.453589+00:00,Agent_001,2020,Wrong direction
2025-11-06T23:48:40.776595+00:00,Agent_002,2020,Right direction
2025-11-06T23:48:41.390738+00:00,Agent_003,2020,Wrong direction
2025-11-06T23:48:43.232724+00:00,Agent_004,2020,Wrong direction
2025-11-06T23:48:43.649733+00:00,Agent_005,2020,Wrong direction
2025-11-06T23:48:44.054961+00:00,Agent_006,2020,Wrong direction
2025-11-06T23:48:46.412159+00:00,Agent_007,2020,Wrong direction
2025-11-06T23:48:48.575647+00:00,Agent_008,2020,Right direction
2025-11-06T23:48:50.198435+00:00,Agent_009,2020,Right direction
2025-11-06T23:48:51.325517+00:00,Agent_010,2020,Wrong direction
2025-11-06T23:48:51.900034+00:00,Agent_011,2020,Right direction
