agent_id,condition,choice,trust
A088,LowPower,SEND,1
A030,LowPower,SEND,1
A064,LowPower,SEND,1
A051,LowPower,SEND,1
A085,LowPower,SEND,1
A094,LowPower,SEND,1
A008,LowPower,SEND,1
A068,LowPower,SEND,1
A065,LowPower,SEND,1
A076,LowPower,SEND,1
A025,LowPower,SEND,1
A061,LowPower,SEND,1
A002,LowPower,SEND,1
A010,LowPower,SEND,1
A004,LowPower,SEND,1
A045,LowPower,SEND,1
A023,LowPower,SEND,1
A046,LowPower,SEND,1
A015,LowPower,SEND,1
A029,LowPower,SEND,1
A013,LowPower,SEND,1
A086,LowPower,SEND,1
A097,LowPower,SEND,1
A011,LowPower,SEND,1
A070,LowPower,SEND,1
A075,LowPower,SEND,1
A055,LowPower,SEND,1
A016,LowPower,SEND,1
A047,LowPower,SEND,1
A036,LowPower,SEND,1
A040,LowPower,SEND,1
A092,LowPower,SEND,1
A084,LowPower,SEND,1
A083,LowPower,SEND,1
A024,LowPower,SEND,1
A027,LowPower,SEND,1
A048,LowPower,SEND,1
A082,LowPower,SEND,1
A057,LowPower,SEND,1
A096,LowPower,SEND,1
A028,LowPower,SEND,1
A033,LowPower,SEND,1
A042,LowPower,SEND,1
A026,LowPower,SEND,1
A074,LowPower,SEND,1
A081,LowPower,SEND,1
A063,LowPower,SEND,1
A059,LowPower,SEND,1
A073,LowPower,SEND,1
A039,LowPower,SEND,1
A071,HighPower,SEND,1
A060,HighPower,KEEP,0
A052,HighPower,KEEP,0
A034,HighPower,SEND,1
A022,HighPower,SEND,1
A020,HighPower,SEND,1
A050,HighPower,KEEP,0
A066,HighPower,KEEP,0
A054,HighPower,SEND,1
A062,HighPower,KEEP,0
A067,HighPower,KEEP,0
A031,HighPower,KEEP,0
A037,HighPower,SEND,1
A079,HighPower,SEND,1
A038,HighPower,KEEP,0
A003,HighPower,KEEP,0
A017,HighPower,KEEP,0
A019,HighPower,SEND,1
A078,HighPower,KEEP,0
A006,HighPower,SEND,1
A095,HighPower,SEND,1
A058,HighPower,KEEP,0
A041,HighPower,SEND,1
A080,HighPower,KEEP,0
A009,HighPower,KEEP,0
A093,HighPower,SEND,1
A077,HighPower,KEEP,0
A098,HighPower,KEEP,0
A056,HighPower,SEND,1
A001,HighPower,KEEP,0
A087,HighPower,KEEP,0
A032,HighPower,KEEP,0
A090,HighPower,SEND,1
A091,HighPower,SEND,1
A089,HighPower,SEND,1
A018,HighPower,KEEP,0
A021,HighPower,SEND,1
A100,HighPower,KEEP,0
A044,HighPower,SEND,1
A043,HighPower,KEEP,0
A072,HighPower,SEND,1
A069,HighPower,SEND,1
A049,HighPower,KEEP,0
A005,HighPower,SEND,1
A014,HighPower,SEND,1
A099,HighPower,SEND,1
A053,HighPower,SEND,1
A012,HighPower,SEND,1
A035,HighPower,SEND,1
A007,HighPower,KEEP,0
